Emanuel,Soto,22069151,2004-03-30,2979
Santiago Leonel,Saldaña,37288913,1985-11-15,4171
Axel Gabriel,Mejía,25307403,1994-10-20,6750
Benicio,Morales,35298636,1990-11-08,6782
Francesca,Lorca,26635538,2004-04-02,2583
Sofía Valentina,Rotman,26357712,1991-08-21,7160
Juan Sebastian,Saldaña,31452370,1986-07-01,296
Ignacio Nicolas,López,23858496,1998-09-12,2100
Lautaro Tomas,Silva,29952402,1982-05-30,3709
Lucas Nahuel,Marín,29419020,2004-05-18,3711
Lucila,Mamani,23677231,1983-03-12,9932
Maria Celeste,Hoffmann,23669926,1984-05-28,7894
Valentina Belén,Pavón,28182194,1986-11-17,5646
Priscila Abigail,Varela,29166751,1996-07-05,3535
Lautaro Valentin,Gómez,31016101,1998-03-14,9953
Ciro,Delgado,21206052,1995-05-20,3561
Lautaro Emanuel,Mancuso,26954468,1984-05-06,9799
Thiago Benjamin,Abadía,21816886,2002-06-03,3729
Luis Fernando,Mora,35592342,1999-06-14,9247
Maria,Vera,33993912,1994-12-23,6421
Alvaro,Muñoz,37239564,2003-11-02,2957
Candela Abigail,Lorca,39556936,2001-12-14,9179
Joaquin Alejandro,Pereyra,34150208,1997-12-10,4152
Genaro,Scioti,22386643,1985-02-28,3546
Magdalena,Salem,29645673,1993-11-19,3645
Agustin Alejandro,Espinoza,33791121,1981-01-24,8032
Santiago Valentin,Godoy,24246033,1984-07-30,7367
Santiago Emanuel,Huarte,36242805,2004-01-09,9094
Santiago Joaquin,Mamani,36283183,1994-05-18,2091
Martin Alejandro,Demichelis,29779742,1998-12-11,1240
Thiago Nahuel,Ibáñez,39040791,2003-05-11,8650
Mateo Benjamin,Pavón,29634890,1990-10-25,3585
Franco Gabriel,Rómulo,38844467,1981-11-10,4545
Facundo Agustin,Rómulo,31828949,1983-09-27,641
Lautaro Sebastian,Casas,21236845,1991-07-27,2397
Milagros Soledad,Morales,33029584,1989-04-20,9302
Ana Laura,Marín,32644388,1989-11-29,537
Lautaro Martin,De Luca,39853852,1997-12-14,1957
Celeste Abigail,Sorbera,21160239,1997-08-13,5376
Nicole,Pineda,20863235,1980-09-26,385
Abril Agustina,Fazzi,27579454,2001-07-24,8165
Nicolas Alejandro,Farías,26739201,2002-05-06,9615
Lucas Daniel,Sánchez,25816937,2002-03-27,7420
Micaela Belen,Carranza,35283109,1999-03-22,3381
Chiara,Mejía,25045435,1988-07-25,4090
Victoria Abril,Marín,33548430,1997-02-25,1162
Manuela,Goicochea,31641992,1982-08-04,5058
Ulises,Godoy,31115818,1986-10-31,6549
Franco David,D'Elia,20715349,1988-12-11,9287
Santiago David,Duarte,35636241,2003-07-30,915
Tomás Valentin,Portillo,28411051,1995-03-31,3630
Gonzalo Nicolás,Pinedo,30675405,1991-05-22,7787
Uriel,Martínez,22884333,2001-07-13,8750
Joaquin Nicolas,Salazar,27666594,1987-02-01,676
Thiago Valentin,Raimundo,35210001,1980-11-27,5575
Román,Leiva,39379113,1994-05-28,5376
Luciano Gabriel,Salazar,33536880,2000-01-27,6355
Camila Aylen,Mariani,29954569,1994-07-31,329
Mia Valentina,Marín,25499431,2003-07-11,72
Thiago Ezequiel,Agüero,26352977,1993-05-08,167
Fiorella,Santos,29243203,2000-01-24,3880
Celeste,Fernández,36078492,2003-11-05,5925
Avril,Pineda,26206017,1997-08-25,2213
Luciano Nicolas,Sosa,35444229,1994-06-07,2266
Valentina Aylen,Leal,25933616,1997-08-14,1812
Martina Belen,Rojas,38300719,1990-07-10,1429
Tomás Alejandro,Salamone,20249923,1984-04-15,5174
Martin Ezequiel,Lorenzo,36784356,2003-01-08,155
Luciano Agustin,Huergo,22268665,2003-12-07,4080
David,Santana,35235170,1980-05-18,1319
Mateo Agustin,Pavón,38270137,1990-03-06,3444
Candela Belen,Mamani,25122477,1992-03-24,6870
Franco Leonel,Nessi,22603912,1986-12-31,4299
Kevin,Vargas,23195120,2002-07-29,5884
Ludmila Ayelen,De León,39655524,1987-02-05,9448
Abril Valentina,Salamone,23514657,1995-05-25,3282
Felicitas,Hidalgo,36609323,1992-05-05,6991
Camila Ayelen,Abadía,26905998,1980-01-05,6663
Marcos Gabriel,Farina,35447623,1992-02-04,8606
Nahuel Agustin,Huergo,30853671,1995-04-28,1789
Julieta Valentina,Rojas,27262400,1988-07-22,3710
Candela Agustina,Rotundo,33246149,2000-04-23,8457
Kevin Ezequiel,Álvarez,35277138,2003-02-17,5532
Luciano Ezequiel,Portillo,24277748,1980-03-29,3953
Andres,Marchi,24168747,1996-09-27,2171
Leonel Agustin,Rotman,31215847,1998-05-27,9521
Ian,Rotundo,23595520,2001-10-24,3881
Braian Ezequiel,Carrizo,24928728,1999-01-25,4707
Valentina Milagros,Gonzales,37787175,1999-08-09,4808
Rocio Milagros,Mancuso,24435300,1990-08-18,3733
Axel Uriel,Hidalgo,25681713,2002-07-11,3521
Milagros Ailén,Scioti,20406718,1986-05-26,7618
Fausto,Martínez,36139577,1988-06-27,9544
Tadeo,Gómez,30959267,2000-06-24,3042
Daniel Alejandro,Salvador,39798257,1991-12-19,8979
Axel Nahuel,Zambrano,22303920,1994-06-30,8476
Camila Agustina,García,22801326,1990-08-24,3060
Luz Milagros,Sojero,23827131,1990-01-30,817
Luana,Muñoz,32301022,1984-02-20,9267
Matias Leonel,Flores,24539156,1990-03-21,5794
